Feature,Importance
fad0_chol,0.7595120909999382
fad0_ldlc,0.03851494383391338
FCfad_crp,0.004575360921837461
fad0_DHA,0.004257781259661475
fad4_C_VITAMIN,0.0038867829054195406
fad4_BETACAROTENS,0.00367186735624086
FOLD_SUCROSE_Epros,0.003446749233217484
fad0_CR,0.0034294282618100597
FOLD_SFA_Epros,0.003167564284959565
Lnfad8_crp,0.002903208829826642
fad4_K_VITAMIN,0.0028495584199575343
fad0_STERT,0.0026933387785995112
fad4_CR,0.002443210940883971
fad0_CARBOHYDRATES_Epros,0.002310424241043057
OIL_CONS_perkg,0.0022086818493854406
fad0_insauc,0.002185887199334107
fad0_STARCH,0.0021362971511710424
fad0_insgenin,0.00212233910164742
fad0_hdlc,0.0020127838004185996
fad0_RIBOFLAVIN_B2,0.0019189149485184444
fad0_matsuda,0.0019183143440291495
fad0_PSACNCS,0.0018920614216677207
FOLD_ENERGY_KCAL,0.0018875188423627682
fad0_SUGAR,0.0018647262058691604
fad4_A_VITAMIN,0.0018453028411052766
fad4_EPA,0.0018188009438491635
fad0_THIAMIN_B1,0.001812291653486937
fad0_EPA,0.001805667469587718
lg_fadinterv_ENERGY_KCAL,0.0018017137320297317
FOLD_LINOLEICACID,0.0017785098244023224
fadinterv_SUCROSE_epros,0.0017732020448194721
fad0_ins120,0.001769709327612911
fad0_homair,0.001678561668381965
fad4_MO,0.0016704064365181128
fadinterv_SFA_Epros,0.0016449379370734407
lg_fad0_LINOLEICACID,0.001610490117579247
fad0_FIBINS,0.0015610558868144795
fad0_bmi,0.0014803787377389212
fad0_inssec30,0.001462797021604461
lg_fad0_CHOLESTEROL,0.0014614023674291898
fad0_height,0.0014547798706253466
fad4_CHOCDF,0.0014275037048572764
fad0_tg,0.0013796557229736842
FOLD_PUFA_Epros,0.0013763862703278932
fad0_LACS,0.0013760368584820673
fad4_CHOLESTEROL,0.0012999105785173532
fad4_FAT_Epros,0.001288612321741291
fad0_waist,0.0012838578432714126
fad0_POTASSIUM,0.0012834035198631898
